iter	Passed	Remaining
0	136	136221
1	138	69236
2	140	46854
3	143	35658
4	145	29033
5	148	24546
6	150	21334
7	152	18926
8	154	17053
9	157	15558
10	159	14355
11	161	13337
12	164	12470
13	166	11725
14	168	11081
15	170	10476
16	171	9943
17	173	9473
18	175	9047
19	176	8647
20	177	8285
21	178	7956
22	180	7655
23	181	7376
24	182	7115
25	183	6872
26	184	6647
27	185	6439
28	186	6244
29	187	6066
30	188	5892
31	189	5727
32	190	5574
33	191	5428
34	191	5291
35	192	5162
36	193	5040
37	194	4922
38	195	4809
39	195	4701
40	196	4599
41	197	4502
42	198	4410
43	198	4321
44	199	4236
45	200	4154
46	200	4075
47	201	4000
48	202	3927
49	203	3857
50	203	3789
51	204	3724
52	204	3662
53	205	3602
54	206	3544
55	206	3487
56	207	3432
57	208	3379
58	208	3328
59	209	3278
60	209	3230
61	210	3183
62	211	3138
63	211	3094
64	212	3052
65	212	3011
66	213	2970
67	213	2927
68	214	2889
69	214	2852
70	215	2817
71	215	2782
72	216	2748
73	216	2714
74	217	2682
75	218	2651
76	218	2620
77	219	2590
78	219	2561
79	220	2532
80	220	2504
81	221	2477
82	221	2451
83	222	2425
84	222	2398
85	223	2373
86	223	2347
87	224	2324
88	224	2301
89	225	2278
90	225	2256
91	226	2234
92	226	2213
93	227	2193
94	228	2172
95	228	2152
96	229	2133
97	229	2114
98	230	2095
99	230	2077
100	231	2059
101	231	2039
102	232	2022
103	232	2005
104	233	1988
105	233	1972
106	234	1956
107	234	1940
108	235	1924
109	236	1909
110	236	1894
111	237	1879
112	237	1865
113	238	1851
114	238	1837
115	239	1822
116	239	1809
117	240	1795
118	240	1781
119	241	1769
120	241	1756
121	242	1743
122	242	1729
123	243	1717
124	243	1706
125	244	1694
126	244	1683
127	245	1670
128	245	1659
129	246	1648
130	246	1637
131	247	1626
132	247	1616
133	248	1605
134	249	1595
135	249	1585
136	250	1575
137	250	1565
138	251	1555
139	251	1546
140	252	1536
141	252	1527
142	253	1518
143	253	1509
144	254	1500
145	254	1491
146	255	1482
147	256	1473
148	256	1465
149	257	1456
150	257	1450
151	258	1442
152	259	1434
153	259	1426
154	260	1418
155	260	1410
156	261	1402
157	261	1395
158	262	1387
159	262	1380
160	263	1372
161	263	1365
162	264	1358
163	265	1351
164	265	1344
165	266	1337
166	266	1330
167	267	1323
168	267	1316
169	268	1310
170	268	1303
171	269	1297
172	270	1290
173	270	1284
174	271	1278
175	271	1272
176	272	1266
177	272	1259
178	273	1253
179	273	1247
180	274	1240
181	274	1234
182	275	1228
183	275	1223
184	276	1217
185	276	1212
186	277	1206
187	278	1200
188	278	1195
189	279	1189
190	279	1184
191	280	1179
192	280	1173
193	281	1168
194	281	1163
195	282	1158
196	282	1153
197	283	1148
198	284	1143
199	284	1138
200	285	1133
201	285	1129
202	286	1124
203	286	1119
204	287	1114
205	287	1109
206	288	1105
207	289	1100
208	289	1096
209	290	1091
210	290	1087
211	291	1082
212	291	1078
213	292	1073
214	292	1069
215	293	1064
216	293	1060
217	294	1056
218	295	1052
219	295	1047
220	296	1043
221	296	1039
222	297	1035
223	297	1031
224	298	1027
225	298	1023
226	299	1019
227	299	1015
228	300	1011
229	300	1007
230	301	1003
231	301	999
232	302	995
233	303	992
234	303	988
235	304	984
236	304	981
237	305	977
238	305	973
239	306	970
240	306	966
241	307	962
242	307	959
243	308	955
244	309	952
245	309	948
246	310	945
247	310	942
248	311	938
249	311	935
250	312	931
251	312	928
252	313	925
253	313	922
254	314	918
255	314	915
256	315	912
257	316	909
258	316	905
259	317	902
260	317	899
261	318	896
262	318	893
263	319	890
264	319	887
265	320	884
266	320	881
267	321	878
268	322	875
269	322	872
270	323	869
271	323	866
272	324	863
273	324	860
274	325	857
275	325	854
276	326	851
277	326	849
278	327	846
279	328	843
280	328	841
281	329	838
282	329	835
283	330	833
284	330	830
285	331	827
286	332	824
287	332	822
288	333	819
289	333	816
290	334	814
291	334	811
292	335	809
293	335	806
294	336	803
295	336	801
296	337	798
297	338	796
298	338	793
299	339	791
300	339	788
301	340	786
302	340	783
303	341	781
304	341	778
305	342	776
306	342	774
307	343	771
308	344	769
309	344	766
310	345	764
311	345	762
312	346	759
313	346	757
314	347	755
315	347	752
316	348	750
317	348	748
318	349	745
319	349	743
320	350	741
321	351	739
322	351	736
323	352	734
324	352	732
325	353	730
326	353	728
327	354	725
328	354	723
329	355	721
330	355	719
331	356	717
332	357	715
333	357	713
334	358	710
335	358	708
336	359	706
337	359	704
338	360	702
339	360	700
340	361	698
341	362	696
342	362	694
343	363	692
344	363	690
345	364	688
346	364	686
347	365	684
348	365	682
349	366	680
350	366	678
351	367	676
352	367	674
353	368	672
354	368	670
355	369	668
356	370	666
357	370	664
358	371	662
359	371	660
360	372	658
361	372	656
362	373	654
363	373	653
364	374	651
365	374	649
366	375	647
367	375	645
368	376	643
369	377	642
370	377	640
371	378	638
372	378	636
373	379	634
374	379	632
375	380	631
376	380	629
377	381	627
378	381	625
379	382	624
380	383	622
381	383	620
382	384	618
383	384	617
384	385	615
385	385	613
386	386	611
387	386	610
388	387	608
389	387	606
390	388	604
391	388	603
392	389	601
393	390	599
394	390	598
395	391	596
396	391	594
397	392	593
398	392	591
399	393	590
400	393	588
401	394	586
402	394	585
403	395	583
404	396	581
405	396	580
406	397	578
407	397	577
408	398	575
409	398	574
410	399	572
411	399	570
412	400	569
413	401	567
414	401	566
415	402	564
416	402	562
417	403	561
418	403	559
419	404	558
420	404	556
421	405	555
422	405	553
423	406	552
424	407	550
425	407	549
426	408	547
427	408	546
428	409	544
429	409	543
430	410	541
431	410	540
432	411	538
433	411	537
434	412	535
435	413	534
436	413	532
437	414	531
438	414	529
439	415	528
440	415	526
441	416	525
442	416	524
443	417	522
444	417	521
445	418	519
446	418	518
447	419	516
448	420	515
449	420	514
450	421	512
451	421	511
452	422	509
453	422	508
454	423	507
455	423	505
456	424	504
457	425	502
458	425	501
459	426	500
460	426	498
461	427	497
462	427	496
463	428	494
464	428	493
465	429	492
466	429	490
467	430	489
468	431	488
469	431	486
470	432	485
471	432	484
472	433	482
